Change Number,Opened At,Planned Start,Planned End,Actual Start,Actual End,Change Type,Risk,Priority,State,Category,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Conflict Status,Approval Status,On Hold Reason,Month Year,Quarter
CHG0000001,2022-03-12 09:10:57,2022-03-30 09:10:57,2022-03-30 15:10:57,2022-03-30 08:57:57,2022-03-30 12:57:57,Normal,High,1 - Critical,Implement,Access Management,L1 Support,Vikram Joshi,Mumbai,Operations,Oracle DB,Storage expansion,No Conflict,Approved,Testing required,Mar-2022,Q1-2022
CHG0000002,2022-12-09 05:01:24,2022-12-16 05:01:24,2022-12-16 13:01:24,2022-12-16 05:16:24,2022-12-16 06:16:24,Emergency,High,3 - Medium,Closed,Application,L2 Support,Kavya Reddy,Mumbai,Marketing,Email Gateway,DR failover test,No Conflict,Approved,Testing required,Dec-2022,Q4-2022
CHG0000003,2022-05-05 02:35:49,2022-06-01 02:35:49,2022-06-01 07:35:49,,,Normal,High,4 - Low,Authorize,Hardware,DB Admins,Anjali Singh,Delhi NCR,IT,SAP Production,OS patch deployment,No Conflict,Approved,Awaiting approval,May-2022,Q2-2022
CHG0000004,2022-01-01 11:01:09,2022-01-26 11:01:09,2022-01-26 19:01:09,,,Standard,High,3 - Medium,Review,Security,App Support,Rohan Verma,Hyderabad,Procurement,Active Directory,Firewall rule update,No Conflict,Approved,,Jan-2022,Q1-2022
CHG0000005,2022-02-25 12:45:42,2022-03-07 12:45:42,2022-03-07 20:45:42,2022-03-07 12:58:42,2022-03-07 14:58:42,Standard,High,2 - High,Closed,Security,DB Admins,Amit Desai,Chennai,IT,Firewall-01,OS patch deployment,No Conflict,Approved,Resource unavailable,Feb-2022,Q1-2022
CHG0000006,2022-01-01 13:02:15,2022-01-08 13:02:15,2022-01-08 16:02:15,,,Normal,High,3 - Medium,Review,Access Management,L2 Support,Sneha Patil,Hyderabad,IT,SAP Production,Storage expansion,No Conflict,Rejected,Testing required,Jan-2022,Q1-2022
CHG0000007,2022-10-15 02:39:34,2022-10-28 02:39:34,2022-10-28 03:39:34,,,Normal,High,1 - Critical,Authorize,Database,Security Ops,Pooja Iyer,Mumbai,HR,Firewall-01,Load balancer config,No Conflict,Approved,Resource unavailable,Oct-2022,Q4-2022
CHG0000008,2022-07-28 12:29:46,2022-08-25 12:29:46,2022-08-25 16:29:46,,,Normal,Low,3 - Medium,Cancelled,Email/Collaboration,L1 Support,Amit Desai,Chennai,IT,Active Directory,Firewall rule update,No Conflict,Pending,Resource unavailable,Jul-2022,Q3-2022
CHG0000009,2022-03-25 10:30:20,2022-04-01 10:30:20,2022-04-01 13:30:20,2022-04-01 11:00:20,2022-04-01 12:00:20,Standard,Medium,3 - Medium,Implement,Email/Collaboration,Infra Team,Kavya Reddy,Kolkata,Operations,Active Directory,Network upgrade,Conflict Detected,Approved,Vendor dependency,Mar-2022,Q1-2022
CHG0000010,2022-05-06 01:14:54,2022-05-22 01:14:54,2022-05-22 09:14:54,,,Normal,High,3 - Medium,Authorize,Email/Collaboration,DB Admins,Anjali Singh,Bangalore,Finance,Active Directory,Middleware upgrade,No Conflict,Pending,Testing required,May-2022,Q2-2022
CHG0000011,2022-05-27 16:46:00,2022-06-20 16:46:00,2022-06-20 20:46:00,2022-06-20 16:37:00,2022-06-20 17:37:00,Normal,High,4 - Low,Closed,Hardware,App Support,Amit Desai,Mumbai,IT,CRM Application,Storage expansion,No Conflict,Pending,Testing required,May-2022,Q2-2022
