Problem Number,Opened At,Resolved At,Category,Priority,Impact,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Known Error,Workaround,Related Incidents,Root Cause,Resolution Days,Month Year,Quarter
PRB0000001,03-01-2022 17:31,,Network,3 - Medium,1 - Enterprise,Open,L2 Support,Anjali Singh,Kolkata,Marketing,SAP Production,Slow performance,Yes,Yes,12,Human error,,Jan-22,Q1-2022
PRB0000002,07-12-2022 22:14,11-12-2022 22:14,Software,1 - Critical,3 - Multiple Users,Resolved,Security Ops,Vikram Joshi,Hyderabad,Operations,Email Gateway,Database timeout,No,No,8,Human error,4,Dec-22,Q4-2022
PRB0000003,12-09-2022 20:53,13-11-2022 20:53,Hardware,1 - Critical,2 - Department,Resolved,App Support,Deepak Nair,Pune,Marketing,Active Directory,Service unavailable,No,No,8,Software defect,62,Sep-22,Q3-2022
PRB0000004,28-10-2022 13:33,30-12-2022 13:33,Hardware,1 - Critical,2 - Department,Resolved,L1 Support,Deepak Nair,Chennai,Finance,CRM Application,Slow performance,No,Yes,3,Capacity issue,63,Oct-22,Q4-2022
PRB0000005,22-09-2022 22:44,06-10-2022 22:44,Database,2 - High,3 - Multiple Users,Closed,L1 Support,Rahul Sharma,Delhi NCR,IT,ERP Server,Service unavailable,No,Yes,1,Network fault,14,Sep-22,Q3-2022
PRB0000006,12-05-2022 21:04,,Hardware,2 - High,1 - Enterprise,Open,L1 Support,Rohan Verma,Chennai,Legal,Email Gateway,Cannot login,No,Yes,3,Human error,,May-22,Q2-2022
PRB0000007,29-03-2022 20:07,,Access Management,4 - Low,4 - Individual,Open,L2 Support,Pooja Iyer,Mumbai,Finance,Load Balancer,Network outage,No,No,23,Capacity issue,,Mar-22,Q1-2022
PRB0000008,27-04-2022 09:00,,Application,2 - High,3 - Multiple Users,In Progress,DB Admins,Rohan Verma,Kolkata,Marketing,Email Gateway,System not responding,Yes,No,5,Software defect,,Apr-22,Q2-2022
PRB0000009,12-03-2022 18:00,,Security,1 - Critical,1 - Enterprise,In Progress,Security Ops,Deepak Nair,Delhi NCR,HR,ERP Server,VPN disconnecting,No,No,16,Configuration error,,Mar-22,Q1-2022
PRB0000010,04-12-2022 15:45,,Email/Collaboration,3 - Medium,3 - Multiple Users,In Progress,Security Ops,Rahul Sharma,Chennai,Sales,ERP Server,Email not working,No,Yes,7,Human error,,Dec-22,Q4-2022
PRB0000011,13-10-2022 07:23,02-12-2022 07:23,Security,1 - Critical,3 - Multiple Users,Closed,L1 Support,Kavya Reddy,Bangalore,Operations,Load Balancer,Slow performance,No,Yes,23,Human error,50,Oct-22,Q4-2022
PRB0000012,03-03-2022 04:19,01-06-2022 04:19,Software,4 - Low,3 - Multiple Users,Resolved,DB Admins,Rohan Verma,Bangalore,HR,Email Gateway,Database timeout,Yes,Yes,11,Hardware failure,90,Mar-22,Q1-2022
PRB0000013,30-12-2022 06:37,05-01-2023 06:37,Application,2 - High,1 - Enterprise,Closed,DB Admins,Amit Desai,Pune,Marketing,Email Gateway,Service unavailable,Yes,No,18,Capacity issue,6,Dec-22,Q4-2022
PRB0000014,14-01-2022 08:48,05-02-2022 08:48,Network,1 - Critical,3 - Multiple Users,Closed,App Support,Rahul Sharma,Chennai,Procurement,Oracle DB,System not responding,Yes,Yes,6,Network fault,22,Jan-22,Q1-2022
PRB0000015,17-04-2022 15:33,14-06-2022 15:33,Access Management,1 - Critical,3 - Multiple Users,Resolved,L1 Support,Priya Menon,Hyderabad,HR,Oracle DB,Application error,No,No,22,Vendor issue,58,Apr-22,Q2-2022
PRB0000016,21-02-2022 20:40,16-04-2022 20:40,Application,3 - Medium,4 - Individual,Resolved,Security Ops,Priya Menon,Bangalore,Procurement,Active Directory,Slow performance,Yes,No,6,Hardware failure,54,Feb-22,Q1-2022
PRB0000017,08-02-2022 10:59,28-03-2022 10:59,Email/Collaboration,1 - Critical,1 - Enterprise,Closed,Network Ops,Pooja Iyer,Delhi NCR,Sales,Firewall-01,Printer offline,Yes,Yes,14,Human error,48,Feb-22,Q1-2022
PRB0000018,12-02-2022 14:11,09-05-2022 14:11,Email/Collaboration,2 - High,4 - Individual,Resolved,Security Ops,Priya Menon,Pune,IT,VPN Gateway,Printer offline,Yes,No,9,Vendor issue,86,Feb-22,Q1-2022
PRB0000019,08-09-2022 07:27,,Network,3 - Medium,3 - Multiple Users,In Progress,DB Admins,Vikram Joshi,Mumbai,Finance,ERP Server,VPN disconnecting,No,No,21,Hardware failure,,Sep-22,Q3-2022
PRB0000020,11-07-2022 21:49,22-08-2022 21:49,Access Management,1 - Critical,4 - Individual,Closed,Network Ops,Pooja Iyer,Kolkata,Legal,Firewall-01,System not responding,No,No,8,Hardware failure,42,Jul-22,Q3-2022
PRB0000021,17-04-2022 14:36,,Access Management,2 - High,3 - Multiple Users,Open,L1 Support,Rohan Verma,Kolkata,Procurement,ERP Server,Printer offline,Yes,No,25,Capacity issue,,Apr-22,Q2-2022
PRB0000022,11-07-2022 14:08,04-10-2022 14:08,Email/Collaboration,2 - High,2 - Department,Resolved,Security Ops,Anjali Singh,Pune,Procurement,Load Balancer,Network outage,No,Yes,4,Vendor issue,85,Jul-22,Q3-2022
PRB0000023,31-08-2022 00:39,05-09-2022 00:39,Network,2 - High,3 - Multiple Users,Closed,L2 Support,Kavya Reddy,Delhi NCR,Marketing,Firewall-01,Cannot login,Yes,Yes,10,Hardware failure,5,Aug-22,Q3-2022
PRB0000024,01-11-2022 08:13,,Email/Collaboration,3 - Medium,3 - Multiple Users,Open,DB Admins,Pooja Iyer,Hyderabad,IT,Core Switch,Printer offline,No,No,6,Hardware failure,,Nov-22,Q4-2022
PRB0000025,10-05-2022 22:39,,Security,4 - Low,1 - Enterprise,Open,L2 Support,Deepak Nair,Bangalore,Legal,SAP Production,Printer offline,Yes,No,3,Vendor issue,,May-22,Q2-2022
PRB0000026,13-11-2022 15:13,19-11-2022 15:13,Hardware,4 - Low,3 - Multiple Users,Resolved,L1 Support,Priya Menon,Mumbai,Procurement,ERP Server,Application error,Yes,No,25,Hardware failure,6,Nov-22,Q4-2022
PRB0000027,26-09-2022 22:51,,Security,4 - Low,4 - Individual,In Progress,Security Ops,Kavya Reddy,Delhi NCR,Finance,Load Balancer,Network outage,Yes,Yes,21,Configuration error,,Sep-22,Q3-2022
PRB0000028,25-07-2022 11:04,,Email/Collaboration,3 - Medium,1 - Enterprise,In Progress,Security Ops,Rahul Sharma,Mumbai,Legal,Core Switch,Printer offline,No,No,18,Configuration error,,Jul-22,Q3-2022
PRB0000029,21-03-2022 01:52,27-03-2022 01:52,Access Management,1 - Critical,3 - Multiple Users,Resolved,Network Ops,Kavya Reddy,Pune,Sales,CRM Application,Database timeout,Yes,Yes,24,Capacity issue,6,Mar-22,Q1-2022
PRB0000030,15-06-2022 21:27,19-08-2022 21:27,Access Management,1 - Critical,2 - Department,Closed,Network Ops,Rohan Verma,Delhi NCR,Marketing,Load Balancer,Service unavailable,No,Yes,14,Vendor issue,65,Jun-22,Q2-2022
PRB0000031,28-01-2022 20:36,14-03-2022 20:36,Database,2 - High,3 - Multiple Users,Resolved,App Support,Vikram Joshi,Mumbai,HR,VPN Gateway,Network outage,Yes,No,17,Hardware failure,45,Jan-22,Q1-2022
PRB0000032,07-06-2022 08:27,23-08-2022 08:27,Email/Collaboration,2 - High,1 - Enterprise,Resolved,L2 Support,Kavya Reddy,Hyderabad,Operations,CRM Application,Database timeout,Yes,No,13,Vendor issue,77,Jun-22,Q2-2022
PRB0000033,13-11-2022 18:42,19-11-2022 18:42,Access Management,4 - Low,4 - Individual,Resolved,Network Ops,Pooja Iyer,Pune,HR,Core Switch,Application error,Yes,Yes,23,Human error,6,Nov-22,Q4-2022
PRB0000034,26-07-2022 19:28,23-08-2022 19:28,Software,4 - Low,1 - Enterprise,Resolved,L1 Support,Rahul Sharma,Pune,Finance,Active Directory,Cannot login,No,No,10,Capacity issue,28,Jul-22,Q3-2022
PRB0000035,27-08-2022 02:23,,Software,4 - Low,2 - Department,In Progress,L2 Support,Rohan Verma,Bangalore,IT,Active Directory,Application error,Yes,Yes,13,Software defect,,Aug-22,Q3-2022
PRB0000036,25-03-2022 00:24,,Email/Collaboration,4 - Low,3 - Multiple Users,Open,Infra Team,Priya Menon,Mumbai,Finance,VPN Gateway,Printer offline,Yes,No,2,Network fault,,Mar-22,Q1-2022
PRB0000037,18-02-2022 05:50,12-05-2022 05:50,Database,1 - Critical,4 - Individual,Resolved,Security Ops,Rohan Verma,Mumbai,HR,SAP Production,Email not working,Yes,Yes,7,Configuration error,83,Feb-22,Q1-2022
PRB0000038,30-07-2022 18:57,,Database,4 - Low,3 - Multiple Users,In Progress,Infra Team,Priya Menon,Bangalore,Sales,SAP Production,Network outage,No,No,5,Vendor issue,,Jul-22,Q3-2022
PRB0000039,08-03-2022 22:37,15-05-2022 22:37,Database,2 - High,1 - Enterprise,Closed,Network Ops,Deepak Nair,Kolkata,Sales,Active Directory,Service unavailable,No,Yes,19,Configuration error,68,Mar-22,Q1-2022
PRB0000040,31-03-2022 13:17,19-05-2022 13:17,Security,3 - Medium,1 - Enterprise,Closed,L2 Support,Anjali Singh,Mumbai,Marketing,CRM Application,Email not working,Yes,No,9,Capacity issue,49,Mar-22,Q1-2022
PRB0000041,21-04-2022 18:23,08-05-2022 18:23,Email/Collaboration,3 - Medium,1 - Enterprise,Closed,L1 Support,Vikram Joshi,Kolkata,Sales,Oracle DB,Printer offline,No,Yes,21,Network fault,17,Apr-22,Q2-2022
PRB0000042,03-11-2022 19:03,,Software,3 - Medium,3 - Multiple Users,In Progress,DB Admins,Pooja Iyer,Delhi NCR,Legal,Email Gateway,Printer offline,No,No,16,Software defect,,Nov-22,Q4-2022
PRB0000043,12-05-2022 12:42,05-07-2022 12:42,Access Management,4 - Low,1 - Enterprise,Resolved,App Support,Anjali Singh,Chennai,Marketing,SAP Production,Application error,Yes,Yes,20,Software defect,54,May-22,Q2-2022
